id,nombre,usuario,descripcion,cantidad_seguidores,cantidad_sigue,fecha_creacion
849848874768494592,Foro Atenas,ForoAtenas,Grupo de pensamiento y acción en apoyo a la Fuerza Pública. Misión: contrarrestar el avance del socialismo del siglo XXI en Colombia y Latinoamérica.,2197,456,Thu Apr 06 04:58:55 +0000 2017
339398560,Milla Romero Soto,millaromerosoto,"Nortesantandereana, Senadora del partido @centrodemocratico

#PorNuestrosNiños #ProVida #ProMujer #PorNteDeSantander #NoMásJEP",6934,1788,Thu Jul 21 01:42:33 +0000 2011
1359229059818008578,OSO SUAXENEYER II - La venganza de los caídos,OSuaxeneyer,No alimente al oso | El oso lo sabe todo menos la combinación de la caja fuerte | Bodeguero Uribista | Odia la mamertera | Promete venganza.,2898,2123,Tue Feb 09 19:54:31 +0000 2021
1465400479,Martin Eduardo Botero,boteroitaly,European lawyer - Europäischer 🇮🇹77/249/EEC. PhD European Constitucional Law - ECTJ- OMA 🇪🇺- Visiting Professor -European International Law,9426,10297,Tue May 28 18:34:06 +0000 2013
1200537135725629441,YAAC #YoApoyoACarabineros,ChileYAAC,MOVIMIENTO CIUDADANO que nace el 18 de Octubre para apoyar la Seguridad Pública a lo largo de todo el país. Súmate a nuestra red de apoyo en https://t.co/XRIiDGIoMN,21858,13498,Fri Nov 29 22:09:12 +0000 2019
290589719,ED LOPEZ COLLAZO,ELCOLLAZO,Director de un Instituto de Investigaciones y aficionado a un millón de cosas más. Científico y divulgador. Premio Reflexiones 2018. Premio Alan Turing 2017.,18571,682,Sat Apr 30 14:59:25 +0000 2011
39823635,Fernán Martinez,FernanMartinez,Periodista y mánager de talento. Percepcionista. Millennial con 39 años de experiencia. fernanmartinez@FMC.com.co fernanmartinez@Aol.com,311661,5303,Wed May 13 20:16:30 +0000 2009
757674367962710017,Jeison Aristizabal,Jeison_HeroeCNN,Conferencista internacional *tres secretos para ser Feliz*-CEO de ASODISVALLE- ganador del premio internacional CNN Héroes-Valiente RCN-Titan  CaracoL,6707,2091,Mon Jul 25 20:30:21 +0000 2016
858031938040471554,Javier Eduardo Cáceres Valencia,JavierFevcolFed,"Por los que hoy ya no están y marcaron un camino. Víctimas de #Farc no callamos, denunciamos, así nos cueste la vida. Presidente de @FevcolFed.",570,433,Fri Apr 28 18:55:30 +0000 2017
1418772808742678537,Joven Cabal,formacioncabal,,67,2,Sat Jul 24 03:19:53 +0000 2021
191097692,Santiago Echeverri,santiagoecheve,"Por la derecha SIEMPRE! 
#ElDiabloDeLaGuarda®",6071,2276,Wed Sep 15 16:10:31 +0000 2010
1243668973,el antiguerrillero,elantiguerrille,Si te gusta echar vaina te doy plomo ( Anti comunista y anti Chavista ),299,469,Tue Mar 05 12:53:42 +0000 2013
3152536335,Victor M. Dueñas,VictorDuenasCU,Periodista 🇨🇺 | Presidente de la @NGFoundationNL  | Luchador contra el #Socialismo | Capitalista | Liberal | Promotor de @CUBADECIDE,8693,1821,Thu Apr 09 19:33:16 +0000 2015
91181758,Armada de Colombia,ArmadaColombia,"Cuenta oficial de la Armada de Colombia.  
198 años 💙 Los #MarinosDeColombia #ProtegemosElAzulDeLaBandera",302372,575,Thu Nov 19 20:11:58 +0000 2009
238345990,Santiago Tréllez Vivero,santitv99,⚽️ Jugador de fútbol 🔴⚫️ @sportrecife🇨🇴🇧🇷,33871,594,Fri Jan 14 23:38:15 +0000 2011
598893909,Ana Maria Castañeda,AnyMarCas,"Senadora de la República 2018-2022 Partido Cambio Radical.  
Comisión para la Equidad de la Mujer.♀️
Sincelejo - Sucre 🇨🇴",9828,700,Mon Jun 04 01:16:02 +0000 2012
80651703,Karoll Márquez,karollMarquez,"Cantante, Actor, Compositor Colombiano Contacto https://t.co/473ftLPjN1",125652,721,Wed Oct 07 18:56:32 +0000 2009
175609100,MARBELLE,Marbelle30,Cantante! Punto!,384101,245,Sat Aug 07 02:38:22 +0000 2010
97446514,Jaime de Althaus,jdealthaus,Antropólogo y periodista,471212,352,Thu Dec 17 13:54:52 +0000 2009
1117317140,Selección Colombia,FCFSeleccionCol,Cuenta Oficial Selecciones Colombia de Fútbol / Federación Colombiana de Fútbol. ⚽️🇨🇴,5175125,63,Thu Jan 24 17:29:53 +0000 2013
221378668,Reporte Ya,ReporteYa,La Fundación ReporteYa es la red pionera de Periodismo Ciudadano y alfabetización digital en Venezuela. Dicta talleres sobre uso efectivo de redes sociales,984323,88905,Tue Nov 30 14:16:26 +0000 2010
2926389669,🇨🇴🍊🍊Kathe Locarno🍊🍊,kilm24,"Siempre por la derecha. Por ser lógica me dicen soberbia y terca, pero no me importa con tal de no caer en las incoherencias de los zurdos....  🙏🏻🇨🇴☕️🍷👠👗",2474,2981,Wed Dec 17 05:30:13 +0000 2014
139121148,Tomas Uribe Moreno,tomasuribeEco,Emprendedor.,123117,540,Sat May 01 16:14:38 +0000 2010
1398634875666698241,Rosita,roxy_sera,"🥰💗🐼
soy nueva aquí",158,73,Sat May 29 13:38:50 +0000 2021
1155934723,Derecha Global,derechaglobal,,2138,13,Thu Feb 07 03:49:29 +0000 2013
88864731,DANIEL HABIF,DanielHabif,"Dios Primero | 📖 Escritor Bestseller: Inquebrantables, Las Trampas del Miedo | Instagram: @danielhabif | 📩: anyha@danielhabif.com",780162,3005,Tue Nov 10 06:05:34 +0000 2009
3302976099,El Pantera,pioparo,Estratega y fisicoculturista. Dandy. Resentido aficionado. Reserva moral del Universo.,761,266,Fri May 29 18:05:33 +0000 2015
1306665334464749571,𝐋𝐇𝐈𝐍𝐌𝐎 𝐑𝐞𝐥𝐨𝐚𝐝𝐞𝐝,LHINMO_Relo4ded,"100% 𝐔𝐫𝐢𝐛𝐢𝐬𝐭𝐚 - 𝐒𝐢𝐞𝐦𝐩𝐫𝐞 𝐩𝐨𝐫 𝐥𝐚 𝐃𝐄𝐑𝐄𝐂𝐇𝐀
𝐂𝐮𝐞𝐧𝐭𝐚 𝐀𝐧𝐭𝐞𝐫𝐢𝐨𝐫 𝐂𝐀𝐈𝐃𝐀",4600,3910,Thu Sep 17 18:44:46 +0000 2020
19771833,George Foreman,GeorgeForeman,"The official Account of Big George Foreman
Olympic Gold Medalist, Two-Time Heavyweight Champion of the World and King of the Grill.",208915,80,Fri Jan 30 15:29:59 +0000 2009
221258418,Leohna,LHName,"De Derecha, si usted es izquierdópata siga de largo. 
#UribistaSigueUribista
#UniónuribistaSolida
#FirmesConUribe
#BodeguitaSigueBodeguita
#BloqueoAlMamerto",4520,4350,Tue Nov 30 04:50:03 +0000 2010
1344490070074662912,Letra Menuda,letramenuda_,"Periodismo de valor, opinión Sin precio, mayor información visítanos https://t.co/4JVxaZn7TA Contacto para denuncias y noticias: contactoletramenuda@gmail.com",195,141,Thu Dec 31 03:47:21 +0000 2020
1339320113745580033,Institute for the Future of Education,EdInnovationIFE,Official account of Institute for the Future of Education. We boost and promote educational innovation.,895,9,Wed Dec 16 21:23:06 +0000 2020
39750629,Saida,LaSaiFa,Libertaria | #Btc | Host en #CaféLibre 🎙,3398,1718,Wed May 13 13:34:15 +0000 2009
90197445,Carlos Antonio Velez,velezfutbol,“Periodismo es publicar lo que alguien no quiere que publiques.Todo lo demás son relaciones publicas. George Orwell. En Instagram soy @velezfutbol,682036,765,Sun Nov 15 16:48:46 +0000 2009
742535097476354050,Ivan Patriota,ivanjunior8a,DIOS FAMILIA Y PATRIA !,1261,1579,Tue Jun 14 01:52:17 +0000 2016
1400475529866842122,@fniunaminamas2021,fniunaminamas22,heridos en combate buscamos el apoyo de los colombianos atraves de la compra de nuestros productos WhatsApp https://t.co/kwzketNxcC https://t.co/B9c8DRTlzX,2387,4118,Thu Jun 03 15:34:49 +0000 2021
1150821796112764928,Gina Bontempo,FlorioGina,"Manager of @RealCandaceO. Live events director of @BLEXIT. Business owner, trainer & health coach.",105446,1019,Mon Jul 15 17:37:52 +0000 2019
851766342701264897,Carlos Omar,CarlosOCorrea,"Amante de la comida, el vino, el fútbol, la música, TV, cine, la salsa y el rock... se escribe de todo como en botica.",18025,15217,Tue Apr 11 11:58:15 +0000 2017
855538460354002944,MUSEO DE LA BUENA MEMORIA,desde_1965,La Historia de Chile no comenzó el 11 de septiembre de 1973.,16866,399,Fri Apr 21 21:47:18 +0000 2017
2322527792,Colombian Herald,ColombianHerald,"News, features and analysis of Colombia and the world for non-spanish speakers",969,86,Sat Feb 01 15:54:16 +0000 2014
1129400383556788224,juancarlosgarciaherreros,GarciaHerrerosJ,"Esposo, padre, abuelo y empresario Nortesantandereano. Diputado Asamblea Norte de Santander por el @centrodemocratico",387,64,Fri May 17 14:56:49 +0000 2019
4003169883,Asociación Obras Sociales,AosPolicia,Somos una entidad sin ánimo de lucro que busca promover la solidaridad y el apoyo de la sociedad hacia los integrantes de la familia policial.,6399,782,Tue Oct 20 16:27:37 +0000 2015
1163292201998344192,Asocamvic - Fevcol,AsocamvicF,"Organización Campesina de Víctimas, que No aceptamos el acuerdo de la Habana, participante mesa para busqueda de desaparecidos RED ADN
Asocamvicfevcol@gmail.com",2037,2953,Mon Aug 19 03:31:12 +0000 2019
1403892384,Melissa Carpentier,MCarpentierB,✒️Comunicadora Social y Periodista🎙☀️Caleña🌷- Opiniones personales ☝🏻. La vida en una palabra: ✨Eudaimonia✨,3673,921,Sun May 05 02:39:03 +0000 2013
346307310,Letra Menuda,LetraMenuda,"Periodismo de valor, opinión sin precio. Portal especializado en opinión y denuncias contra la corrupción",662,187,Mon Aug 01 02:07:14 +0000 2011
1091738353530257411,El Conservador Español ن,ConservaEspanol,Católico. Conservador. Monárquico de las Bases de Estoril. Demócrata de toda la vida. Facha ilustrado,2273,620,Sat Feb 02 16:41:21 +0000 2019
703206133251645440,Álvaro Vargas Llosa,AlvaroVargasLl,"Political author, speaker, individual investor. Leads CEA at Fundación Internacional para la Libertad. Senior Fellow, @IndependentInst. Member @gcppporg",55092,600,Fri Feb 26 13:13:01 +0000 2016
1226099941,Nubia Alcira,NeiraNeir,No es necesario que saques Las garras conmigo; me sé la canción y no tengo ningún deseo de cantar,4680,5063,Wed Feb 27 21:31:14 +0000 2013
3376187843,Julián Quintana,julianquintanat,"Director JQ Abogados. ExDirector: CTI, lavado y extinción fiscalia. PHD (c) Derecho MSc D Penal. MSc Anticorrupción. Esp D Penal. Exdecano derecho UMB. Profesor",23654,3798,Tue Jul 14 18:42:37 +0000 2015
544749909,chigo,chigo58336410,"100% Uribista... si no te gusta sigue tu camino... no creo en la Falsa PAZ de Santos....Amo a Dios, mi familia, mi patria. Me encanta viajar, y la música.",3603,4982,Tue Apr 03 23:14:36 +0000 2012
374699026,Agustin Antonetti,agusantonetti,Relaciones Internacionales. Geopolitics. Intentando explicar el mundo de una forma más fácil. Human Rights Activist.,124212,932,Fri Sep 16 19:37:17 +0000 2011
2222035329,60 Segundos,60segundosco,Todas las generalidades de Colombia y el mundo.,6325,277,Thu Dec 12 19:26:40 +0000 2013
1288561628347273221,Gaceta Colombia,gacetacolombia,,2142,13,Wed Jul 29 19:47:50 +0000 2020
190657623,Ana María Quijano R.,anamarqr,Comunicadora Social - Periodista,6407,3531,Tue Sep 14 14:28:36 +0000 2010
240757505,Jefferson Beltrán Neira,JeffersonNTN24,Periodista. Subdirector y Presentador del programa @LaNocheNTN24 en @CanalRCN y @NTN24. Aquí está mi opinión y análisis.,35974,1867,Thu Jan 20 17:35:28 +0000 2011
287868120,Santiago Lafaurie,S_Lafaurie,Tauromaquia y atlético nacional.,234,331,Mon Apr 25 20:44:01 +0000 2011
2745446135,The Void,BasesFirmes,En lo Sociocultural Conservador; en lo Económico Pro Libre Mercado; en lo Político Pragmatico; en la Seguridad Interna y Defensa Internacional Nacionalista,1511,1498,Sun Aug 17 15:36:52 +0000 2014
2726406104,Coronel Jhon Harvey Alzate Duque,ProteccionPonal,Cuenta Oficial de la Dirección de Protección y Servicios Especiales Policía Nacional  #EsUnHonorSerPolicía,75906,523,Tue Aug 12 14:35:55 +0000 2014
2239282612,Juan José Lafaurie,LafaurieCabal,Dios por siempre! Conservador y de Derecha.     Instagram: juanjoselafaurie,18333,78,Mon Dec 23 05:19:17 +0000 2013
164329628,Edwin Ballesteros,EdwBallesteros,Hombre de Dios y Familia. Representante a la Cámara @CeDemocratico 🇨🇴 Miembro de la Comisión V #LaProvinciaMueveASantander,12060,1243,Thu Jul 08 16:17:28 +0000 2010
133366340,eugenia navia villa,eugenavi,"Uribista 💯🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴 madre, trabajadora con 3 hijos maravillosos y orgullosa de ser colombiana, no puedo con nada de la izquierda DE CALI VE",2041,1725,Thu Apr 15 16:07:54 +0000 2010
558719400,💕𝔸𝕧𝕖 𝕗é𝕟𝕚𝕩 (,kathtiuzkia,"📚🖋️

 𝕍𝕠𝕪 𝕡𝕠𝕣 𝕝𝕒 𝕕𝕖𝕣𝕖𝕔𝕙a👉💕

ℕ𝕆 𝔻𝕄🚫",20532,8714,Fri Apr 20 13:31:06 +0000 2012
1186652729625714688,💫Karito Mejía💫,Carolin78804158,"En este perfil se Apoya 💯% a FFMM
#YoApoyoMiPoNal 
💚 #YoApoyoAlESMAD 
#YoApoyoMiEjercito 💚
#MujeresVerdeOliva
Uribista ♥️👊🏻🇨🇴",14676,13054,Tue Oct 22 14:38:35 +0000 2019
59815228,AXEL KAISER,AXELKAISER,"Nomad. Critical Thinking. 
Último libro: ""La neoinquisición”. El Mercurio, Deusto, 2020. Podcast: Mentalmorphosis
https://t.co/FmKngBs1ud",205281,742,Fri Jul 24 15:52:34 +0000 2009
581874434,Alejandra Cifuentes,AlejaCif14,"Caleña,
Comunicadora Social,
Analista Digital y Política, CEO Fundación Convivencia Creativa, amante de mi país.💛💙❤
#MásLiderazgosMenosPolíticos",11400,4007,Wed May 16 14:23:00 +0000 2012
1344024360059891712,SALU MACCALLAN بين يدي الله,Salu_Macallan8,LIBANÉS 🇱🇧-CALEÑO-URIBISTA🇨🇴-DERECHA A GANAR!! 🙏🏼😌🎙💶🍀🔆,13326,1846,Tue Dec 29 20:56:05 +0000 2020
24654312,Valentina,valen20011,Do it right. With a smile. Or don't do it!,5572,2969,Mon Mar 16 05:15:25 +0000 2009
1389929704329711617,Gran Colombia 24,grancolombia24,No basta quedarse en el medio cuando la realidad es extrema. Aquí le contamos la noticia como en realidad es.,155,203,Wed May 05 13:07:43 +0000 2021
98294131,Vanessa Friedman,1VAFI,"Abogado. Con profunda fe en D.os. Creo en la Verdad, la Ley y en la Justicia. “De acuerdo con el esfuerzo, así será tu recompensa”",4106,1254,Mon Dec 21 05:23:27 +0000 2009
466531652,Política de Colombia,Politicoscol,Portal dedicado a la política colombiana. Análisis y opinión con sentido,21077,288,Tue Jan 17 14:23:05 +0000 2012
17061263,Benjamin Netanyahu,netanyahu,ראש האופוזיציה ויו''ר הליכוד https://t.co/jjO4V91WG1,2036810,25,Thu Oct 30 06:40:51 +0000 2008
1239681365416738818,MaríaE 🇨🇴,mae_porty,Opiniones personales. Colombia,1249,681,Mon Mar 16 22:34:39 +0000 2020
1090340941817356295,Hernán Ariza,HernanArizaG,⚖️,3499,1397,Tue Jan 29 20:08:32 +0000 2019
2305672974,SUSANAARENAS,croactibo,"CALEÑA, antisantista, antipetrista, antiJep, mujer de principios morales a la antigua, trabajo en la mejor empresa del mundo. No DM",10985,555,Thu Jan 23 00:28:11 +0000 2014
1686594578,Mamela Fiallo Flor 💙 🐍  🗽,MamelaFialloFlo,"Pedagoga, Investigadora en @fundlibre, columnista de @PanAmPost, Cofundadora del Partido Libertario Cubano, coautor del libro Igniting Liberty @beinlibertarian.",41540,1886,Tue Aug 20 20:01:07 +0000 2013
3378838029,Christian Cantor,ChrisMCantor,"Embajador de 🇮🇱 @IsraelMFA en Colombia 🇨🇴 @Israelincol, dedicado #jerusalem-ita, experto en #nonproliferation y pasionado por la 👨‍🍳",3201,1052,Thu Jul 16 14:55:20 +0000 2015
465089702,Andrés Forero CD #1️⃣,AForeroM,Concejal de Bogotá por el Centro Democrático,18810,4618,Sun Jan 15 23:28:06 +0000 2012
70600949,Webinfomil.com,Webinfomil,"Medio digital especializado en noticias de la industria de seguridad y defensa, aviación y conflictos. ¡12 años informando!",16384,610,Tue Sep 01 04:50:03 +0000 2009
54066017,Georg Eickhoff,JorgeEickhoff,"Política y análisis son mi profesión, Venezuela mi pasión. || Imagen de perfil por visual_artist_francisco_bassim ||",33836,34448,Mon Jul 06 01:18:22 +0000 2009
1317908371207487488,Andy B,AndyPelinegra,"Dios, familia, Uribe y patria. La historia la viví, no me la contaron. 🇨🇴🇮🇱🇪🇦",9850,8657,Sun Oct 18 19:20:42 +0000 2020
3687951142,Arquiman,Arquiman2,"Soy Uribista, si no le gusta lo que escribo bien pueda siga de largo. Solo sigo Uribistas, mamertos abstenerse #SoyCabal",5134,2933,Thu Sep 17 17:31:09 +0000 2015
1292270976047161345,Bloque Patriota💥,Bloque_Patriota,"La #PATRIA está en peligro, Defenderla es nuestro DEBER 🇨🇱 Actitud y Convicción #ChileLibre #ChileSinComunistas",9416,8232,Sun Aug 09 01:26:39 +0000 2020
144270488,Renato Contreras O,Recortt,"Magistrado del CNE. Abogado, Magíster en Derecho Administrativo, Máster en Justicia Constitucional y Derechos Humanos (c), Especialista en Gerencia Pública.",1267,582,Sat May 15 20:13:55 +0000 2010
1029879609674936320,Maria Jose Bernal G,Majobernalgavi1,"Colombiana, bien paisa. Economista liberal. Directora ejecutiva de @fenalco_ant #Dejencamellar",12592,1157,Wed Aug 15 23:56:47 +0000 2018
322087729,VickA✌️🍀,Vahiaaa,"derecho penal y del crimen,
20 años de traga🥰
Columnista 
De DERECHA",13967,8440,Wed Jun 22 16:24:44 +0000 2011
1886507599,Elvia Lucy Abonce,ElviaLucyA,,2036,418,Fri Sep 20 13:01:48 +0000 2013
866493324,Alfa Charlie,aldocardinali,"La Unidad hace la fuerza. Un político malo, es malo en todo sentido, incluso para el partido que pertenece.Nuestras tradiciones y símbolos Patrios no se tranzan",36999,36529,Sun Oct 07 15:30:36 +0000 2012
53189543,Keiko Fujimori,KeikoFujimori,Mamá de Kyara y Kaori. Casada con Mark. Fundadora y Presidenta de @PFuerzaPopular. 🇵🇪,1237188,5683,Thu Jul 02 21:12:50 +0000 2009
1253082112493830145,Nicolás Gómez Arenas,NicolasGomezzA,Politólogo y Comunicador de la Universidad de Arizona. Fundador de la Fundación Democracia & Libertad. Columnista en El Nuevo Siglo. Conservador.,2041,347,Wed Apr 22 22:04:01 +0000 2020
1135989168289583105,Valeria Garcia,valeriacdgarcia,"Abogada Javeriana, Libertaria, Capitalista y de Derecha.",9454,1895,Tue Jun 04 19:18:18 +0000 2019
1347364899991793665,Vivi,Vivibar,Uribista.,8973,6364,Fri Jan 08 02:10:12 +0000 2021
3390249015,mario quintero  tobo,mario_tobo,"quiero que me siga URIBE
Por ahora únicamente me siguen los que tienen menos de 10 seguidores , los demás me bloquean",70,175,Fri Jul 24 01:35:08 +0000 2015
532555613,Junior Daniel,albaricoque2012,"Comentador de trinos, Juniorista, de ideas conservadoras, fanático  del anime, y del buen vallenato con letra.",911,1289,Wed Mar 21 21:03:15 +0000 2012
2192253554,Jorge Eduardo.,Jorgejrmll,"URIBISTA 1000%, amo la vida, la buena música, mi trabajo, mi familia, lo mejor. Quiero Paz, Salud y mis Nietas No me gustan los mamertos.
#UribistaSigueUribista",2174,2511,Wed Nov 13 12:50:14 +0000 2013
103649357,Felipe Zuleta Lleras,Zuletalleras,Periodista. Trinos son mi responsabilidad.,243212,519,Sun Jan 10 19:46:20 +0000 2010
972263846,Escuela Superior de Guerra Colombia,EsdegCol,"Bienvenidos, cuenta oficial de la Escuela Superior de Guerra. Institución Militar de Educación Superior🇨🇴Vigilada @MinEducacion 📚Director MG. Luis Ospina",8586,1077,Mon Nov 26 16:21:07 +0000 2012
70438190,Luchito 🇬🇧,Luisme31,Colombia 🇨🇴 no será socialista.,2372,3211,Mon Aug 31 16:47:33 +0000 2009
4040329953,General Jorge Luis Vargas Valencia,DirectorPolicia,Cuenta oficial del Director General de la Policía Nacional de Colombia. #EsUnHonorSerPolicía,102720,98,Sun Oct 25 17:23:57 +0000 2015
1516609855,Christian Garcés,ChriGarces,"Representante a la Cámara por el Valle del Cauca. Concejal, Diputado y Director de Planeación. ¡Orgullosamente Vallecaucano!",23608,5414,Fri Jun 14 14:22:57 +0000 2013
1367272535071600641,dona_pilyJanssen,Dona_Pily2,"Si muero, díganle a Federer que lo amaba. Vacunada. Defensora de los Deberes Humanos. URIBISTA #YoInfluyoPositivo @LaBodeguita_TV @SalvemosColombia",20667,1116,Thu Mar 04 00:36:04 +0000 2021
252112733,Brigadier General Juvenal Díaz Mateus,GralJuvenalDiaz,"Cuenta del comandante de la Séptima División del Ejército con jurisdicción en los departamentos de Antioquia, Córdoba, Chocó, Sucre, Boyacá y Santander",14815,1212,Mon Feb 14 14:32:17 +0000 2011
602103590,JHON ORIAD,jhondairocarmon,"orgulloso de mi ejército nacional 
suboficial del ejército 🙏

mi mamá me enseñó que siempre debo de ir por la derecha 👌",2772,3067,Thu Jun 07 18:45:49 +0000 2012
99845052,Juan M. Jaramillo,JuMaJaRa,"Me gusta hablar de política, de movilidad y de innovación.
Soy empresario y siempre emprendedor.
Mis ratos libres los dedico al canto.",19712,540,Mon Dec 28 03:08:03 +0000 2009
758027681820651521,Derecha Libertaria 🔥,DchaLibertaria,"#Nueva #DerechaLibertaria Organización política, #Patriotas #Republicanos #Conservadores #NuevaDerecha by @MrMaxLibertario 👨‍💻",6000,3944,Tue Jul 26 19:54:17 +0000 2016
